ID_Persona;Nombre;Edad;Ocupacion;Salario;Ciudad;Fecha_Contratacion;Puntaje_Desempenio
1;Antonio;18;Estudiante;;Rosario;2023-04-05;1.4
2;Maria;30;Ingeniera;2500.0;Cordoba;2017-06-14;1.9
3;Mauro;25;Plomero;1450.0;Mar del Plata;2017-06-21;2.8
4;Gaston;28;ingeniero;2000.0;Rosario;2017-05-31;4.8
5;Alfredo;45;Medico;2100.0;Resistencia;2017-12-19;4.2
6;Jorge;25;Vendedor;2550.0;Tucuman;2022-01-18;
7;Valeria;30;Arquitecta;1284.0;Mendoza;2023-09-02;2.2
8;Juan;24;Médica;2138.0;La Plata;2016-10-28;2.5
9;Pedro;62;Vendedor;3799.0;Resistencia;2022-02-13;1.7
10;Lucia;47;Médica;;Santa Fe;2017-06-18;3.7
11;Maria;32;Enfermero;1131.0;Mar del Plata;2018-01-01;
12;Valeria;63;Medico;1870.0;Mar del Plata;2022-03-18;2.8
13;Juan;65;Analista;3207.0;Resistencia;2019-10-21;4.6
14;Juan;26;Analista;3021.0;Buenos Aires;2016-03-25;1.6
15;Carlos;56;Ingeniera;2576.0;Salta;2020-12-07;2.0
16;Antonio;61;Arquitecta;1469.0;Santa Fe;2023-06-03;2.1
17;Gaston;36;Médica;1647.0;Tucuman;2020-08-12;4.0
18;Gaston;58;Plomero;4447.0;Resistencia;2017-03-25;1.6
19;Jorge;51;Vendedor;1002.0;Salta;2015-03-21;1.4
20;Laura;33;Estudiante;;Resistencia;2015-11-19;2.9
21;Jorge;26;Ingeniero;3702.0;Santa Fe;2016-11-07;
22;Carlos;31;Vendedor;3208.0;Mendoza;2022-12-30;
23;Carla;46;Vendedor;3119.0;Mendoza;2017-07-09;1.3
24;Jorge;32;Desarrollador;1902.0;Buenos Aires;2017-07-26;1.3
25;Diego;22;Analista;1974.0;Salta;2017-05-27;3.2
26;Valeria;54;Docente;1995.0;Mar del Plata;2017-02-18;1.4
27;Carla;45;Médica;2912.0;Buenos Aires;2022-07-21;3.6
28;Maria;43;Arquitecta;2389.0;Cordoba;2017-10-15;1.8
29;Alfredo;45;Ingeniero;2140.0;Cordoba;2019-12-21;
30;Gaston;21;Abogado;3214.0;Cordoba;2023-06-14;4.4
31;Luis;48;ingeniero;4541.0;Buenos Aires;2016-11-05;
32;Pedro;47;Plomero;2732.0;Santa Fe;2022-06-04;3.9
33;Laura;31;Estudiante;;Santa Fe;;1.2
34;Ana;51;Ingeniero;;Cordoba;2017-01-31;1.3
35;Juan;43;Ingeniera;4856.0;Mendoza;2021-06-29;3.4
36;Carlos;60;Desarrollador;3315.0;Tucuman;2017-04-16;3.7
37;Pedro;43;Ingeniero;3751.0;Salta;2018-07-19;
38;Antonio;47;Desarrollador;;Cordoba;2021-01-11;1.9
39;Carla;22;Vendedor;2000.0;Rosario;2019-11-30;4.3
40;Pablo;59;Analista;1032.0;Santa Fe;2018-05-11;4.7
41;Alfredo;34;Ingeniera;4644.0;Santa Fe;2016-09-28;2.1
42;Diego;31;Abogado;3597.0;Santa Fe;2020-06-24;
43;Maria;23;Abogado;2734.0;Buenos Aires;2015-01-15;2.3
44;Pedro;28;Arquitecta;2809.0;Mar del Plata;2021-04-16;1.0
45;Alfredo;52;Estudiante;;Resistencia;2021-03-13;1.5
46;Maria;40;ingeniero;3793.0;Cordoba;2018-12-19;
47;Carlos;57;Arquitecta;;Mendoza;2016-10-27;4.9
48;Carlos;19;Ingeniero;;Mar del Plata;2023-12-30;3.7
49;Juan;35;Ingeniero;4225.0;Mar del Plata;2015-06-08;4.4
50;Elena;40;Plomero;4360.0;Mendoza;2017-07-02;1.1
51;Diego;35;Enfermero;;Tucuman;2018-12-09;3.6
52;Jorge;39;Estudiante;633.0;Rosario;;2.1
53;Carlos;40;Arquitecta;4221.0;Resistencia;2020-09-25;
54;Sofia;34;Estudiante;;Buenos Aires;;3.2
55;Sofia;41;Médica;;La Plata;2021-12-27;2.3
56;Laura;50;Plomero;3731.0;Mar del Plata;2022-10-26;2.2
57;Carlos;60;Médica;3774.0;Rosario;2021-11-26;3.3
58;Antonio;37;Plomero;1860.0;Resistencia;2021-10-20;3.6
59;Elena;61;ingeniero;3093.0;Rosario;2022-05-22;1.3
60;Pablo;39;Ingeniera;;Mendoza;2022-07-18;2.2
61;Alfredo;19;Estudiante;;Salta;;1.3
62;Valeria;30;Arquitecta;3852.0;Mar del Plata;2017-09-26;1.6
63;Gaston;45;ingeniero;1720.0;Santa Fe;2020-03-17;1.2
64;Gaston;47;Ingeniero;4282.0;Santa Fe;2021-04-08;
65;Elena;57;Enfermero;3946.0;Mar del Plata;2021-02-22;2.8
66;Luis;46;Plomero;4079.0;Tucuman;2023-08-03;4.1
67;Juan;35;Docente;1317.0;Mendoza;2018-01-17;
68;Mauro;26;Ingeniero;1947.0;Rosario;2022-12-03;1.9
69;Diego;52;Docente;2703.0;Mar del Plata;2019-05-15;4.6
70;Antonio;54;Médica;2953.0;La Plata;2018-05-08;
71;Carlos;52;Arquitecta;4009.0;Resistencia;2017-06-22;3.0
72;Luis;19;Médica;2376.0;Mar del Plata;2023-02-14;1.7
73;Alfredo;57;Analista;;Resistencia;2021-04-30;3.7
74;Carlos;26;Enfermero;2891.0;Tucuman;2019-04-02;2.3
75;Diego;42;Plomero;;Mar del Plata;2017-10-30;4.3
76;Jorge;21;Medico;1918.0;Buenos Aires;2023-06-17;1.1
77;Antonio;57;Ingeniero;1977.0;Cordoba;2021-04-29;4.8
78;Pedro;41;Ingeniero;3481.0;Cordoba;2023-09-21;
79;Gaston;55;Estudiante;;Resistencia;;
80;Sofia;22;Desarrollador;3828.0;Mendoza;2016-02-22;3.8
81;Pablo;25;Contador;3318.0;La Plata;2020-12-22;2.7
82;Ana;59;Medico;1051.0;Salta;2016-03-08;2.7
83;Elena;63;Ingeniero;2783.0;Santa Fe;2022-04-18;2.1
84;Jorge;48;Docente;2784.0;Resistencia;2018-01-04;2.3
85;Mauro;35;Vendedor;2846.0;Salta;2021-05-23;3.4
86;Antonio;49;Enfermero;2331.0;Mendoza;2018-12-24;4.2
87;Pablo;62;Vendedor;2131.0;Santa Fe;2017-02-21;1.3
88;Luis;53;Contador;1984.0;Salta;2020-01-10;4.2
89;Juan;43;Arquitecta;1996.0;Resistencia;2019-02-20;2.9
90;Carlos;65;Analista;2354.0;Salta;2018-01-14;2.2
91;Sofia;38;Ingeniera;4042.0;Rosario;2017-02-23;1.9
